#,รหัสโรค,รายละเอียด,เหตุผล,ICD-10-WHO,ICD-10-TM,ICD-10-TMD
1,A00,Cholera,F,Y,N,N
2,A000,"Cholera due to Vibrio cholerae 01, biovar cholerae",T,Y,Y,N
3,A001,"Cholera due to Vibrio cholerae 01, biovar eltor",T,Y,Y,N
4,A009,"Cholera, unspecified",T,Y,Y,N
5,A01,Typhoid and paratyphoid fevers,F,Y,N,N
6,A010,Typhoid fever,T,Y,Y,N
7,A011,Paratyphoid fever A,T,Y,Y,N
8,A012,Paratyphoid fever B,T,Y,Y,N
9,A013,Paratyphoid fever C,T,Y,Y,N
10,A014,"Paratyphoid fever, unspecified",T,Y,Y,N
11,A02,Other salmonella infections,F,Y,N,N
12,A020,Salmonella enteritis,T,Y,Y,N
13,A021,Salmonella septicaemia,T,Y,Y,N
14,A022,Localized salmonella infections,T,Y,Y,N
15,A028,Other specified salmonella infections,T,Y,Y,N
16,A029,"Salmonella infection, unspecified",T,Y,Y,N
17,A03,Shigellosis,F,Y,N,N
18,A030,Shigellosis due to Shigella dysenteriae,T,Y,Y,N
19,A031,Shigellosis due to Shigella flexneri,T,Y,Y,N
20,A032,Shigellosis due to Shigella boydii,T,Y,Y,N
21,A033,Shigellosis due to Shigella sonnei,T,Y,Y,N
22,A038,Other shigellosis,T,Y,Y,N
23,A039,"Shigellosis, unspecified",T,Y,Y,N
24,A04,Other bacterial intestinal infections,F,Y,N,N
25,A040,Enteropathogenic Escherichia coli infection,T,Y,Y,N
26,A041,Enterotoxigenic Escherichia coli infection,T,Y,Y,N
27,A042,Enteroinvasive Escherichia coli infection,T,Y,Y,N
28,A043,Enterohaemorrhagic Escherichia coli infection,T,Y,Y,N
29,A044,Other intestinal Escherichia coli infections,T,Y,Y,N
30,A045,Campylobacter enteritis,T,Y,Y,N
31,A046,Enteritis due to Yersinia enterocolitica,T,Y,Y,N
32,A047,Enterocolitis due to Clostridium difficile,T,Y,Y,N
33,A048,Other specified bacterial intestinal infections,T,Y,Y,N
34,A049,"Bacterial intestinal infection, unspecified",T,Y,Y,N
35,A05,Other bacterial foodborne intoxications,F,Y,N,N
36,A050,Food-borne staphylococcal intoxication,T,Y,Y,N
37,A051,Botulism,T,Y,Y,N
38,A052,Food-borne Clostridium perfringens [Clostridium welchii] intoxication,T,Y,Y,N
39,A053,Food-borne Vibrio parahaemolyticus intoxication,T,Y,Y,N
40,A054,Food-borne Bacillus cereus intoxication,T,Y,Y,N
41,A058,Other specified bacterial food-borne intoxications,T,Y,Y,N
42,A059,"Bacterial food-borne intoxication, unspecified",T,Y,Y,N
43,A06,Amoebiasis,F,Y,N,N
44,A060,Acute amoebic dysentery,T,Y,Y,N
45,A061,Chronic intestinal amoebiasis,T,Y,Y,N
46,A062,Amoebic nondysenteric colitis,T,Y,Y,N
47,A063,Amoeboma of intestine,T,Y,Y,N
48,A064,Amoebic liver abscess,T,Y,Y,N
49,A065,Amoebic lung abscess (J99.8*),T,Y,Y,N
50,A066,Amoebic brain abscess (G07*),T,Y,Y,N
51,A067,Cutaneous amoebiasis,T,Y,Y,N
52,A068,Amoebic infection of other sites,T,Y,Y,N
53,A069,"Amoebiasis, unspecified",T,Y,Y,N
54,A07,Other protozoal intestinal diseases,F,Y,N,N
55,A070,Balantidiasis,T,Y,Y,N
56,A071,Giardiasis [lambliasis],T,Y,Y,N
57,A072,Cryptosporidiosis,T,Y,Y,N
58,A073,Isosporiasis,T,Y,Y,N
59,A078,Other specified protozoal intestinal diseases,T,Y,Y,N
60,A079,"Protozoal intestinal disease, unspecified",T,Y,Y,N
61,A08,Viral and other specified intestinal infections,F,Y,N,N
62,A080,Rotaviral enteritis,T,Y,Y,N
63,A081,Acute gastroenteropathy due to Norwalk agent,T,Y,Y,N
64,A082,Adenoviral enteritis,T,Y,Y,N
65,A083,Other viral enteritis,T,Y,Y,N
66,A084,"Viral intestinal infection, unspecified",T,Y,Y,N
67,A085,Other specified intestinal infections,T,Y,Y,N
68,A09,Diarrhoea and gastroenteritis of presumed infectious origin,F,Y,Y,N
69,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",F,Y,N,N
70,A150,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",T,Y,Y,N
71,A151,"Tuberculosis of lung, confirmed by culture only",T,Y,Y,N
72,A152,"Tuberculosis of lung, confirmed histologically",T,Y,Y,N
73,A153,"Tuberculosis of lung, confirmed by unspecified means",T,Y,Y,N
74,A154,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically confirmed",T,Y,Y,N
75,A155,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically confirmed",T,Y,Y,N
76,A156,"Tuberculous pleurisy, confirmed bacteriologically and histologically",T,Y,Y,N
77,A157,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",T,Y,Y,N
78,A158,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",T,Y,Y,N
79,A159,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",T,Y,Y,N
80,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",F,Y,N,N
81,A160,"Tuberculosis of lung, bacteriologically and histologically negative",T,Y,Y,N
82,A161,"Tuberculosis of lung, bacteriological and histological examination not done",T,Y,Y,N
83,A162,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",T,Y,Y,N
84,A163,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",T,Y,Y,N
85,A164,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",T,Y,Y,N
86,A165,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",T,Y,Y,N
87,A167,Primary respiratory tuberculosis without mention of bacteriological or or histological confirmation,T,Y,Y,N
88,A168,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",T,Y,Y,N
89,A169,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",T,Y,Y,N
90,A17,Tuberculosis of nervous system,F,Y,N,N
91,A170,Tuberculous meningitis (G01*),T,Y,Y,N
92,A171,Meningeal tuberculoma (G07*),T,Y,Y,N
93,A178,Other tuberculosis of nervous system,T,Y,Y,N
94,A179,"Tuberculosis of nervous system, unspecified (G99.8*)",T,Y,Y,N
95,A18,Tuberculosis of other organs,F,Y,N,N
96,A938,Other specified arthropod-borne viral fevers,T,Y,Y,N
97,A94,Unspecified arthropod-borne viral fever,T,Y,Y,N
98,A95,Yellow fever,F,Y,N,N
99,A950,Sylvatic yellow fever,T,Y,Y,N
100,A951,Urban yellow fever,T,Y,Y,N
101,A959,"Yellow fever, unspecified",T,Y,Y,N
102,A96,Arenaviral haemorrhagic fever,F,Y,N,N
103,A960,Junin haemorrhagic fever,T,Y,Y,N
104,A961,Machupo haemorrhagic fever,T,Y,Y,N
105,A962,Lassa fever,T,Y,Y,N
106,A968,Other arenaviral haemorrhagic fevers,T,Y,Y,N
107,A969,"Arenaviral haemorrhagic fever, unspecified",T,Y,Y,N
108,A98,"Other viral haemorrhagic fevers, not elsewhere classified",F,Y,N,N
109,A980,Crimean-Congo haemorrhagic fever,T,Y,Y,N
110,A981,Omsk haemorrhagic fever,T,Y,Y,N
111,A982,Kyasanur forest disease,T,Y,Y,N
112,A983,Marburg virus disease,T,Y,Y,N
113,A984,Ebola virus disease,T,Y,Y,N
114,A985,Haemorrhagic fever with renal syndrome,T,Y,Y,N
115,A988,Other specified viral haemorrhagic fevers,T,Y,Y,N
116,A99,Unspecified viral haemorrhagic fever,T,Y,Y,N
117,B00,Herpesviral [herpes simplex] infections,F,Y,N,N
118,B000,Eczema herpeticum,T,Y,Y,N
119,B001,Herpesviral vesicular dermatitis,T,Y,Y,N
120,B002,Herpesviral gingivostomatitis and pharyngotonsillitis,T,Y,Y,N
121,B003,Herpesviral meningitis (G02.0*),T,Y,Y,N
122,B004,Herpesviral encephalitis (G05.1*),T,Y,Y,N
123,B005,Herpesviral ocular disease,T,Y,Y,N
124,B007,Disseminated herpesviral disease,T,Y,Y,N
125,B008,Other forms of herpesviral infection,T,Y,Y,N
126,B009,"Herpesviral infection, unspecified",T,Y,Y,N
127,B01,Varicella [chickenpox],F,Y,N,N
128,B010,Varicella meningitis (G02.0*),T,Y,Y,N
129,B011,Varicella encephalitis (G05.1*),T,Y,Y,N
130,B012,Varicella pneumonia (J17.1*),T,Y,Y,N
131,B018,Varicella with other complications,T,Y,Y,N
132,B019,Varicella without complication,T,Y,Y,N
133,B02,Zoster [herpes zoster],F,Y,N,N
134,B020,Zoster encephalitis (G05.1*),T,Y,Y,N
135,B021,Zoster meningitis (G02.0*),T,Y,Y,N
136,B022,Zoster with other nervous system involvement,T,Y,Y,N
137,B023,Zoster ocular disease,T,Y,Y,N
138,B027,Disseminated zoster,T,Y,Y,N
139,B028,Zoster with other complications,T,Y,Y,N
140,B029,Zoster without complication,T,Y,Y,N
141,B03,Smallpox,T,Y,Y,N
142,B04,Monkeypox,T,Y,Y,N
143,B05,Measles,F,Y,N,N
144,B050,Measles complicated by encephalitis (G05.1*),T,Y,Y,N
145,B051,Measles complicated by meningitis (G02.0*),T,Y,Y,N
146,B052,Measles complicated by pneumonia (J17.1*),T,Y,Y,N
147,B053,Measles complicated by otitis media (H67.1*),T,Y,Y,N
148,B054,Measles with intestinal complications,T,Y,Y,N
149,B058,Measles with other complications,T,Y,Y,N
150,B059,Measles without complication,T,Y,Y,N
151,B06,Rubella [German measles],F,Y,N,N
152,B060,Rubella with neurological complications,T,Y,Y,N
153,B068,Rubella with other complications,T,Y,Y,N
154,B069,Rubella without complication,T,Y,Y,N
155,B07,Viral warts,T,Y,Y,N
156,B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere",F,Y,N,N
157,B080,Other orthopoxvirus infections (Cowpox),T,Y,Y,N
158,B081,Molluscum contagiosum,T,Y,Y,N
159,B082,Exanthema subitum [sixth disease],T,Y,Y,N
160,B083,Erythema infectiosum [fifth disease],T,Y,Y,N
161,B084,Enteroviral vesicular stomatitis with exanthem,T,Y,Y,N
162,B085,Enteroviral vesicular pharyngitis,T,Y,Y,N
163,B088,Other specified viral infections characterized by skin and mucous membrane,T,Y,Y,N
164,B09,Unspecified viral infection characterized by skin and mucous membrane lesions,T,Y,Y,N
165,B15,Acute hepatitis A,F,Y,N,N
166,B150,Hepatitis A with hepatic coma,T,Y,Y,N
167,B159,Hepatitis A without hepatic coma,T,Y,Y,N
168,B16,Acute hepatitis B,F,Y,N,N
169,B160,Acute hepatitis B with Delta-agent (coinfection) with hepatic coma,T,Y,Y,N
170,B161,Acute hepatitis B with Delta-agent (coinfection) without hepatic coma,T,Y,Y,N
171,B162,"Acute hepatitis B without Delta-agent, with hepatic coma",T,Y,Y,N
172,B169,Acute hepatitis B without Delta-agent and without hepatic coma,T,Y,Y,N
173,B17,Other acute viral hepatitis,F,Y,N,N
174,B170,Acute Delta-(super)infection of hepatitis B carrier,T,Y,Y,N
175,B171,Acute hepatitis C,T,Y,Y,N
176,B172,Acute hepatitis E,T,Y,Y,N
177,B178,Other specified acute viral hepatitis,T,Y,Y,N
178,B18,Chronic viral hepatitis,F,Y,N,N
179,B180,Chronic viral hepatitis B with delta-agent,T,Y,Y,N
180,B181,Chronic viral hepatitis B without delta-agent,T,Y,N,N
181,B1810,Chronic viral hepatitis B without delta-agent (TM),T,Y,Y,N
182,B1819,Chronic hepatitis B unspecified delta agent status (TM),T,Y,Y,N
183,B182,Chronic viral hepatitis C,T,Y,Y,N
184,B188,Other chronic viral hepatitis,T,Y,Y,N
185,B189,"Chronic viral hepatitis, unspecified",T,Y,Y,N
186,B19,Unspecified viral hepatitis,F,Y,N,N
187,B190,Unspecified viral hepatitis with coma,T,Y,Y,N
188,B199,Unspecified viral hepatitis without coma,T,Y,Y,N
189,B20,HIV disease resulting in infectious and parasitic diseases,F,Y,N,N
190,B200,HIV disease resulting in mycobacterial infection,T,Y,Y,N
191,B201,HIV disease resulting in other bacterial infections,T,Y,Y,N
192,B202,HIV disease resulting in cytomegaloviral disease,T,Y,Y,N
193,B203,HIV disease resulting in other viral infections,T,Y,Y,N
194,B204,HIV disease resulting in candidiasis,T,Y,Y,N
195,B205,HIV disease resulting in other mycoses,T,Y,Y,N
196,B206,HIV disease resulting in Pneumocystis carinii pneumonia,T,Y,Y,N
197,B207,HIV disease resulting in multiple infections,T,Y,Y,N
198,B208,HIV disease resulting in other infectious and parasitic diseases,T,Y,Y,N
199,B209,HIV disease resulting in unspecified infectious or parasitic disease,T,Y,Y,N
200,B21,HIV disease resulting in malignant neoplasms,F,Y,N,N
201,A180,Tuberculosis of bones and joints,T,Y,Y,N
202,A181,Tuberculosis of genitourinary system,T,Y,Y,N
203,A182,Tuberculous peripheral lymphadenopathy,T,Y,Y,N
204,A183,"Tuberculosis of intestines, peritoneum and mesenteric glands",T,Y,Y,N
205,A184,Tuberculosis of skin and subcutaneous tissue,T,Y,Y,N
206,A185,Tuberculosis of eye,T,Y,Y,N
207,A186,Tuberculosis of ear,T,Y,Y,N
208,A187,Tuberculosis of adrenal glands (E35.1*),T,Y,Y,N
209,A188,Tuberculosis of other specified organs,T,Y,Y,N
210,A19,Miliary tuberculosis,F,Y,N,N
211,A190,Acute miliary tuberculosis of a single specified site,T,Y,Y,N
212,A191,Acute miliary tuberculosis of multiple sites,T,Y,Y,N
213,A192,"Acute miliary tuberculosis, unspecified",T,Y,Y,N
214,A198,Other miliary tuberculosis,T,Y,Y,N
215,A199,"Miliary tuberculosis, unspecified",T,Y,Y,N
216,A20,Plague,F,Y,N,N
217,A200,Bubonic plague,T,Y,Y,N
218,A201,Cellulocutaneous plague,T,Y,Y,N
219,A202,Pneumonic plague,T,Y,Y,N
220,A203,Plague meningitis,T,Y,Y,N
221,A207,Septicaemic plague,T,Y,Y,N
222,A208,Other forms of plague,T,Y,Y,N
223,A209,"Plague, unspecified",T,Y,Y,N
224,A21,Tularaemia,F,Y,N,N
225,A210,Ulceroglandular tularaemia,T,Y,Y,N
226,A211,Oculoglandular tularaemia,T,Y,Y,N
227,A212,Pulmonary tularaemia,T,Y,Y,N
228,A213,Gastrointestinal tularaemia,T,Y,Y,N
229,A217,Generalized tularaemia,T,Y,Y,N
230,A218,Other forms of tularaemia,T,Y,Y,N
231,A219,"Tularaemia, unspecified",T,Y,Y,N
232,A22,Anthrax,F,Y,N,N
233,A220,Cutaneous anthrax,T,Y,Y,N
234,A221,Pulmonary anthrax,T,Y,Y,N
235,A222,Gastrointestinal anthrax,T,Y,Y,N
236,A227,Anthrax septicaemia,T,Y,Y,N
237,A228,Other forms of anthrax,T,Y,Y,N
238,A229,"Anthrax, unspecified",T,Y,Y,N
239,A23,Brucellosis,F,Y,N,N
240,A230,Brucellosis due to Brucella melitensis,T,Y,Y,N
241,A231,Brucellosis due to Brucella abortus,T,Y,Y,N
242,A232,Brucellosis due to Brucella suis,T,Y,Y,N
243,A233,Brucellosis due to Brucella canis,T,Y,Y,N
244,A238,Other brucellosis,T,Y,Y,N
245,A239,"Brucellosis, unspecified",T,Y,Y,N
246,A24,Glanders and melioidosis,F,Y,N,N
247,A240,Glanders,T,Y,Y,N
248,A241,Acute and fulminating melioidosis,T,Y,Y,N
249,A242,Subacute and chronic melioidosis,T,Y,Y,N
250,A243,Other melioidosis,T,Y,Y,N
251,A244,"Melioidosis, unspecified",T,Y,Y,N
252,A25,Rat-bite fevers,F,Y,N,N
253,A250,Spirillosis,T,Y,Y,N
254,A251,Streptobacillosis,T,Y,Y,N
255,A259,"Rat-bite fever, unspecified",T,Y,Y,N
256,A26,Erysipeloid,F,Y,N,N
257,A260,Cutaneous erysipeloid,T,Y,Y,N
258,A267,Erysipelothrix septicaemia,T,Y,Y,N
259,A268,Other forms of erysipeloid,T,Y,Y,N
260,A269,"Erysipeloid, unspecified",T,Y,Y,N
261,A27,Leptospirosis,F,Y,N,N
262,A270,Leptospirosis icterohaemorrhagica,T,Y,Y,N
263,A278,Other forms of leptospirosis,T,Y,Y,N
264,A279,"Leptospirosis, unspecified",T,Y,Y,N
265,A28,"Other zoonotic bacterial diseases, not elsewhere classified",F,Y,N,N
266,A280,Pasteurellosis,T,Y,Y,N
267,A281,Cat-scratch disease,T,Y,Y,N
268,A282,Extraintestinal yersiniosis,T,Y,Y,N
269,A288,"Other specified zoonotic bacterial diseases, not elsewhere classified",T,Y,Y,N
270,A289,"Zoonotic bacterial disease, unspecified",T,Y,Y,N
271,A30,Leprosy [Hansen's disease],F,Y,N,N
272,A300,Indeterminate leprosy,T,Y,Y,N
273,A301,Tuberculoid leprosy,T,Y,Y,N
274,A302,Borderline tuberculoid leprosy,T,Y,Y,N
275,A303,Borderline leprosy,T,Y,Y,N
276,A304,Borderline lepromatous leprosy,T,Y,Y,N
277,A305,Lepromatous leprosy,T,Y,Y,N
278,A308,Other forms of leprosy,T,Y,Y,N
279,A309,"Leprosy, unspecified",T,Y,Y,N
280,A31,Infection due to other mycobacteria,F,Y,N,N
281,A310,Pulmonary mycobacterial infection,T,Y,Y,N
282,A311,Cutaneous mycobacterial infection,T,Y,Y,N
283,A318,Other mycobacterial infections,T,Y,Y,N
284,A319,"Mycobacterial infection, unspecified",T,Y,Y,N
285,A32,Listeriosis,F,Y,N,N
286,A320,Cutaneous listeriosis,T,Y,Y,N
287,A321,Listerial meningitis and meningoencephalitis,T,Y,Y,N
288,A327,Listerial septicaemia,T,Y,Y,N
289,A328,Other forms of listeriosis,T,Y,Y,N
290,A329,"Listeriosis, unspecified",T,Y,Y,N
291,A33,Tetanus neonatorum,T,Y,Y,N
292,A34,Obstetrical tetanus,T,Y,Y,N
293,A35,Other tetanus,T,Y,Y,N
294,A36,Diphtheria,F,Y,N,N
295,A360,Pharyngeal diphtheria,T,Y,Y,N
